"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"senuran muthusamy","50K+","29 October 2024 at 09:10:00 UTC+5:30",,"senuran muthusamy,taijul islam","https://trends.google.com/trends/explore?q=senuran%20muthusamy&geo=IN&hl=en-GB"
"waaree energies share price","200K+","28 October 2024 at 08:50:00 UTC+5:30",,"waaree energies share price,waaree share price","https://trends.google.com/trends/explore?q=waaree%20energies%20share%20price&geo=IN&hl=en-GB"
"diwali","500K+","27 October 2024 at 08:30:00 UTC+5:30",,"diwali,deepavali,दीपावली कब है,दिवाली कब है,deepavali 2024,deepawali,दीपावली कब है 2024 शुभ मुहूर्त,दीपावली कब की है,दीपावली,deepawali 2024 date,deepawali 2024,diwali 2024 date,diwali kab ki hai,2024 diwali,दिवाली कब की है,diwali date 2024,diwali kab hai 2024,दीपावली कब है 2024,lakshmi aarti,diwali 2024,dipawali 2024,दिवाली,2024 में दिवाली कब है,2024 में दीपावली कब है,diwali in 2024,lakshmi pujan,laxmi pujan,diwali kab ki hai 2024,hindi,दीपावली दिवाली,दीपावली किस दिन है,ganesh","https://trends.google.com/trends/explore?q=diwali&geo=IN&hl=en-GB"
"supreme leader ayatollah ali khamenei","200K+","28 October 2024 at 10:30:00 UTC+5:30",,"supreme leader ayatollah ali khamenei,iran supreme leader khamenei,supreme leader ayatollah ali khamenei x,account","https://trends.google.com/trends/explore?q=supreme%20leader%20ayatollah%20ali%20khamenei&geo=IN&hl=en-GB"
"ipl retention 2025","50K+","26 October 2024 at 17:30:00 UTC+5:30",,"ipl retention 2025,ipl auction 2025 date,ipl retention,ipl auction 2025,ipl retention last date,retention list ipl 2025,ipl retention 2025 date,rohit sharma ipl,ipl 2025,csk retained players 2025","https://trends.google.com/trends/explore?q=ipl%20retention%202025&geo=IN&hl=en-GB"
"icai result","100K+","30 October 2024 at 00:00:00 UTC+5:30",,"icai result,ca inter result september 2024,ca foundation result september 2024,ca foundation result,icai,ca inter result,icai.nic.in result,icai.nic,icai nic in,ca result,icai.nic.in result 2024,icai.nic.in,icai results,icai result sep 2024,icai. nic. in,ca,ca result september 2024,icai.org result,ca results,ca results september 2024,ca result 2024,ca inter results,icai nic,icai.nic .in,icai ca foundation result,icai inter result,ca inter result september 2024 pass percentage,ca inter result september 2024 time,icai foundation result,ca foundation result september 2024 date,icai.result.nic,ca foundation september 2024 result date,icai. org,icai.org,ca inter pass percentage,ca foundation,icai result login","https://trends.google.com/trends/explore?q=icai%20result&geo=IN&hl=en-GB"
"bank holidays 2024","50K+","28 October 2024 at 07:20:00 UTC+5:30",,"bank holidays 2024,bank holiday,bank holidays,november 2024,is bank open today,bank holidays in october 2024,bank holiday in october 2024,today bank open,today bank open or closed,bank holidays october 2024","https://trends.google.com/trends/explore?q=bank%20holidays%202024&geo=IN&hl=en-GB"
"happy diwali images","50K+","28 October 2024 at 08:20:00 UTC+5:30",,"happy diwali images,choti diwali images,chhoti diwali 2024,chhoti diwali image,diwali wish,choti diwali image,deepavali 2024 date,choti diwali date,roop chaudas 2024 date,diwali wishes","https://trends.google.com/trends/explore?q=happy%20diwali%20images&geo=IN&hl=en-GB"
"tnpsc","200K+","28 October 2024 at 10:50:00 UTC+5:30",,"tnpsc,டிஎன்பிஎஸ்சி குரூப் 4","https://trends.google.com/trends/explore?q=tnpsc&geo=IN&hl=en-GB"
"csbc. bihar. gov. in","200K+","27 October 2024 at 19:10:00 UTC+5:30",,"csbc. bihar. gov. in,bihar police result 2024,up police result,up police result 2024,up police,up police constable result,sarkari result,sarkari result 2024,csbc,bihar police result,up police final answer key,up police answer key,up police final answer key 2024,upprpb answer key,bihar police,csbc bihar police,csbc bihar,सरकारी रिजल्ट","https://trends.google.com/trends/explore?q=csbc.%20bihar.%20gov.%20in&geo=IN&hl=en-GB"
"gold price today","500K+","29 October 2024 at 07:30:00 UTC+5:30",,"gold price today,silver price,gold rate,silver price today,gold rate today,gold price,silver rate,चांदी का भाव आज,सोने चांदी का भाव,सोने चांदी,सोने चांदी भाव,आज का सोने का भाव,today silver rate","https://trends.google.com/trends/explore?q=gold%20price%20today&geo=IN&hl=en-GB"
"gaganachari","50K+","26 October 2024 at 01:20:00 UTC+5:30",,"gaganachari","https://trends.google.com/trends/explore?q=gaganachari&geo=IN&hl=en-GB"
"nishad yusuf","20K+","30 October 2024 at 07:30:00 UTC+5:30",,"nishad yusuf,nishadh yusuf,kanguva,thallumaala","https://trends.google.com/trends/explore?q=nishad%20yusuf&geo=IN&hl=en-GB"
"swiggy ipo","20K+","28 October 2024 at 17:20:00 UTC+5:30",,"swiggy ipo,swiggy ipo gmp,swiggy,upstox","https://trends.google.com/trends/explore?q=swiggy%20ipo&geo=IN&hl=en-GB"
"dog","50K+","26 October 2024 at 18:40:00 UTC+5:30",,"dog","https://trends.google.com/trends/explore?q=dog&geo=IN&hl=en-GB"
"reliance jio diwali gift employees","50K+","30 October 2024 at 03:20:00 UTC+5:30",,"reliance jio diwali gift employees,reliance jio diwali gift for employees,reliance,reliance diwali gifts employees","https://trends.google.com/trends/explore?q=reliance%20jio%20diwali%20gift%20employees&geo=IN&hl=en-GB"
"abhinav arora","50K+","24 October 2024 at 20:20:00 UTC+5:30",,"abhinav arora,abhinav arora rambhadracharya,aajtak","https://trends.google.com/trends/explore?q=abhinav%20arora&geo=IN&hl=en-GB"
"nawab malik","10K+","29 October 2024 at 16:00:00 UTC+5:30",,"nawab malik","https://trends.google.com/trends/explore?q=nawab%20malik&geo=IN&hl=en-GB"
"rachel gupta","50K+","25 October 2024 at 21:10:00 UTC+5:30",,"rachel gupta","https://trends.google.com/trends/explore?q=rachel%20gupta&geo=IN&hl=en-GB"
"upprpb","50K+","27 October 2024 at 05:20:00 UTC+5:30",,"upprpb,uppbpb gov in,uppbpb,uppbpb.gov.in 2024,uppbpb gov in 2024 result,upprpb result 2024,upp final answer key,upp answer key,upprpb result,csbc result,cbse.bihar.gov in","https://trends.google.com/trends/explore?q=upprpb&geo=IN&hl=en-GB"
