"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"diljit dosanjh concert delhi","50K+","25 October 2024 at 19:40:00 UTC+5:30","29 October 2024 at 09:30:00 UTC+5:30","diljit dosanjh concert delhi,diljit dosanjh concert,diljit dosanjh concert delhi ticket price,jawaharlal nehru,dil luminati tour,dil luminati delhi,aa,hindustan","https://trends.google.com/trends/explore?q=diljit%20dosanjh%20concert%20delhi&geo=IN&hl=en-GB"
"vasubaras 2024","50K+","27 October 2024 at 18:10:00 UTC+5:30","29 October 2024 at 02:30:00 UTC+5:30","vasubaras 2024,vasubaras,vasu baras,vagh baras 2024","https://trends.google.com/trends/explore?q=vasubaras%202024&geo=IN&hl=en-GB"
"ekadashi in october 2024","100K+","26 October 2024 at 06:10:00 UTC+5:30","28 October 2024 at 15:00:00 UTC+5:30","ekadashi in october 2024,rama ekadashi,rama ekadashi 2024,ekadashi,एकादशी कब है,ekadashi vrat katha,एकादशी कब की है,ekadashi 2024,एकादशी कब है october 2024","https://trends.google.com/trends/explore?q=ekadashi%20in%20october%202024&geo=IN&hl=en-GB"
"ind a vs afg a","500K+","25 October 2024 at 17:30:00 UTC+5:30","27 October 2024 at 09:10:00 UTC+5:30","ind a vs afg a,india a vs afghanistan a,ind vs afg,sediqullah atal,afghanistan a vs india a,emerging asia cup,ind vs afg emerging asia cup,zubaid akbari,india vs afghanistan,acc emerging teams asia cup,india a vs oman,ind a vs afg a asia cup 2024,ind a vs oman,ind vs oman,india vs india a,oman vs india a,afg a vs sl a,emerging asia cup 2024,sri lanka a vs afghanistan a,darwish rasooli,sl a vs afg a,ind a,ind vs ind a,inda vs afga,india vs oman,ind vs afg asia cup 2024,ayush badoni,india vs afghanistan semi final,ind vs afg live,india a cricket team,afghanistan a cricket team vs india a cricket team match scorecard,india a cricket team vs afghanistan a cricket team match scorecard,asia emerging cup,af-a vs in-a,india a vs afghanistan a live,rasikh salam,ind a vs afg,sahan arachchige,india vs afghanistan emerging asia cup,emerging asia cup live score,ind a vs afg a live,tilak varma,india a vs afghanistan a live streaming,ind a vs afg a asia cup 2024 live,afg a vs india a,india a vs afghanistan,india a vs afg a,ind a vs oman a t20,mohammad nadeem,afg vs sl,india vs afghanistan live score,bilal sami,ind a vs afg a emerging asia cup,ind a vs oman a,ind vs afg t20,oma vs in-a,ind vs afg asia cup,ind a vs afg a live streaming,ind vs oman live,ind vs afg emerging asia cup live score,ind vs oman emerging asia cup,emerging asia cup 2024 schedule,ind vs afg a,emerging asia cup live streaming,oman,ind vs oma,afg vs ind,india a vs oman a,india vs afghanistan live,india a vs oman live,oman national cricket team vs india a cricket team match scorecard,emerging asia cup 2024 broadcast channel,ind vs afg today match,ind a afg a,ind a vs omn,ind vs afg emerging asia cup live streaming,sri lanka a vs afghanistan a cricket team match scorecard,afghanistan a vs sri lanka a,india vs oman asia cup 2024,acc asia cup,inda vs afg a,ind a vs af a,ind a vs oman live,ind a vs afg a asia cup 2024 live score cricbuzz,ind vs oman t20,in-a vs af-a,india a cricket team vs afghanistan a cricket team players,ind a vs afg a live score,sl a vs afg a final,ind vs omn,india a cricket team vs oman national cricket team match scorecard,india vs oman live,ind-a vs afg-a,india a vs oman a live score,sri lanka a vs afghanistan a today match live,ind vs oman live score,afg a vs ind a,ind vs afg live score,t20 emerging asia cup,afghanistan a cricket team vs india a cricket team,india a cricket team vs afghanistan a cricket team,india a versus afghanistan a,a,ind vs afg live streaming,women cricket live score,ind a vs oma,india a vs oman live streaming,asian men's t20 emerging cup","https://trends.google.com/trends/explore?q=ind%20a%20vs%20afg%20a&geo=IN&hl=en-GB"
"godavari biorefineries share price","2K+","30 October 2024 at 09:30:00 UTC+5:30","30 October 2024 at 15:00:00 UTC+5:30","godavari biorefineries share price,godavari biorefineries,godavari biorefineries ipo gmp","https://trends.google.com/trends/explore?q=godavari%20biorefineries%20share%20price&geo=IN&hl=en-GB"
"न्यूजीलैंड महिला बनाम भारतीय महिला","50K+","29 October 2024 at 13:30:00 UTC+5:30","30 October 2024 at 06:50:00 UTC+5:30","न्यूजीलैंड महिला बनाम भारतीय महिला,yastika bhatia,भारतीय महिला बनाम न्यूजीलैंड महिला,स्मृति मंधाना,न्यूज़ीलैंड क्रिकेट टीम बनाम भारतीय क्रिकेट टीम के मैच का स्कोरकार्ड,हरमनप्रीत कौर,toss","https://trends.google.com/trends/explore?q=%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%9C%E0%A5%80%E0%A4%B2%E0%A5%88%E0%A4%82%E0%A4%A1%20%E0%A4%AE%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A4%BE%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF%20%E0%A4%AE%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A4%BE&geo=IN&hl=en-GB"
"न्यूजीलैंड बनाम भारत","200K+","24 October 2024 at 09:00:00 UTC+5:30","27 October 2024 at 07:30:00 UTC+5:30","न्यूजीलैंड बनाम भारत,shubman gill,वाशिंगटन सुंदर,nz बनाम ind,टॉम लैथम,इंडिया लाइव मैच स्कोर,ind a vs,रोहित शर्मा,ind vsnz,रचिन रविंद्र,ind vs nz 2nd test tickets,टॉम ब्लंडेल,डेरिल मिशेल","https://trends.google.com/trends/explore?q=%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%9C%E0%A5%80%E0%A4%B2%E0%A5%88%E0%A4%82%E0%A4%A1%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4&geo=IN&hl=en-GB"
"iran","200K+","26 October 2024 at 05:00:00 UTC+5:30","28 October 2024 at 06:10:00 UTC+5:30","iran,israel iran war,israel news,iran news,iran israel news,israel attack iran,parchin iran,israel,israel iran news,tehran iran,israel iran,iran tehran,iranian,israel iran attack today,tehran,world news,israel strikes iran,tehran times,as","https://trends.google.com/trends/explore?q=iran&geo=IN&hl=en-GB"
"icai result sep 24","2K+","30 October 2024 at 08:50:00 UTC+5:30","30 October 2024 at 13:00:00 UTC+5:30","icai result sep 24","https://trends.google.com/trends/explore?q=icai%20result%20sep%2024&geo=IN&hl=en-GB"
"kadaisi ulaga por ott","50K+","24 October 2024 at 01:20:00 UTC+5:30","30 October 2024 at 15:30:00 UTC+5:30","kadaisi ulaga por ott","https://trends.google.com/trends/explore?q=kadaisi%20ulaga%20por%20ott&geo=IN&hl=en-GB"
"warriors vs pelicans","2K+","30 October 2024 at 07:40:00 UTC+5:30","30 October 2024 at 12:40:00 UTC+5:30","warriors vs pelicans,gsw,lindy waters iii","https://trends.google.com/trends/explore?q=warriors%20vs%20pelicans&geo=IN&hl=en-GB"
"arvind kejriwal","100K+","26 October 2024 at 14:30:00 UTC+5:30","27 October 2024 at 20:30:00 UTC+5:30","arvind kejriwal,अरविंद केजरीवाल","https://trends.google.com/trends/explore?q=arvind%20kejriwal&geo=IN&hl=en-GB"
"corinna kopf","50K+","26 October 2024 at 02:20:00 UTC+5:30","28 October 2024 at 07:30:00 UTC+5:30","corinna kopf","https://trends.google.com/trends/explore?q=corinna%20kopf&geo=IN&hl=en-GB"
"icc ranking","200+","30 October 2024 at 14:30:00 UTC+5:30",,"icc ranking","https://trends.google.com/trends/explore?q=icc%20ranking&geo=IN&hl=en-GB"
"deepti sharma","10K+","29 October 2024 at 16:50:00 UTC+5:30","30 October 2024 at 08:10:00 UTC+5:30","deepti sharma,lea tahuhu","https://trends.google.com/trends/explore?q=deepti%20sharma&geo=IN&hl=en-GB"
"dabur share price","500+","30 October 2024 at 10:00:00 UTC+5:30",,"dabur share price","https://trends.google.com/trends/explore?q=dabur%20share%20price&geo=IN&hl=en-GB"
"bomb threats indian airlines","20K+","27 October 2024 at 05:30:00 UTC+5:30","28 October 2024 at 22:10:00 UTC+5:30","bomb threats indian airlines,bomb threats airlines,indian airlines bomb threats news,flights,nagpur","https://trends.google.com/trends/explore?q=bomb%20threats%20indian%20airlines&geo=IN&hl=en-GB"
"poblense vs villarreal","5K+","30 October 2024 at 01:10:00 UTC+5:30","30 October 2024 at 11:10:00 UTC+5:30","poblense vs villarreal","https://trends.google.com/trends/explore?q=poblense%20vs%20villarreal&geo=IN&hl=en-GB"
"ballon d'or 2024 live","50K+","28 October 2024 at 20:40:00 UTC+5:30","29 October 2024 at 18:30:00 UTC+5:30","ballon d'or 2024 live,ballon d'or 2024 date,where to watch ballon d'or 2024,ballon d'or 2024 live stream,ballon d'or live,ballon d'or 2024 date and time in india,ballon d'or 2024 live stream in india,ballon d'or 2024 time in india,where to watch ballon d'or 2024 in india,ballon d'or live stream,ballon d'or 2024 where to watch in india,ballon d'or live stream india,ballon d'or 2024 date and time,ballon dor live,ballon d'or ceremony 2024,ballon d'or 2024 time,ballon d'or ceremony live,ballon d or live,where to watch ballon d'or,epl fixtures,ballon d'or ceremony live in india,ballon d or ceremony live stream free,watch ballon d'or 2024 live,ballon d'or 2024 sonyliv,ballondor live,sonyliv ballon d or 2024,ballon d'or 2024 nominees,ballon d'or where to watch,ballon d'or 2024 telecast in india,ballon d'or 2024 live india,where can i watch the ballon d'or ceremony,2024 ballon d'or live,ballon d'or 2024 streaming,watch ballon d'or live,ballon d'or 2023,ballon d or ceremony time in india,ballon dor live stream,ballon d or 2024 live,where to watch ballon d'or in india,ballon d'or 2024 stream,ballon d'or live india,ballon d'or 2024 watch live,ballon d'or 2024 streaming in india,ballon d'or 2024 where to watch,ballon d'or,messi,how to watch ballon d'or 2024 live,ronaldo,ballon d'or ceremony live stream free,ballon d'or ceremony time,where can i watch ballon d or 2024 in india,ballon d or 2024 stream,ballon d'or 2024","https://trends.google.com/trends/explore?q=ballon%20d%27or%202024%20live&geo=IN&hl=en-GB"
"ufc 308","50K+","24 October 2024 at 20:00:00 UTC+5:30","28 October 2024 at 05:40:00 UTC+5:30","ufc 308,khamzat chimaev,ufc,robert whittaker,khamzat vs whittaker","https://trends.google.com/trends/explore?q=ufc%20308&geo=IN&hl=en-GB"
"erik ten hag","20K+","28 October 2024 at 17:20:00 UTC+5:30","30 October 2024 at 05:20:00 UTC+5:30","erik ten hag,ten hag,ruud van nistelrooy,ten hag sacked,ruud van,van nistelrooy,eric ten hag","https://trends.google.com/trends/explore?q=erik%20ten%20hag&geo=IN&hl=en-GB"
"man city vs southampton","50K+","26 October 2024 at 18:30:00 UTC+5:30","27 October 2024 at 20:40:00 UTC+5:30","man city vs southampton,pl table,manchester city f.c.,man city vs southampton f.c.,where to watch man city vs southampton f.c.","https://trends.google.com/trends/explore?q=man%20city%20vs%20southampton&geo=IN&hl=en-GB"
"thevar jayanthi 2024","2K+","30 October 2024 at 00:40:00 UTC+5:30","30 October 2024 at 14:20:00 UTC+5:30","thevar jayanthi 2024,thevar jayanthi","https://trends.google.com/trends/explore?q=thevar%20jayanthi%202024&geo=IN&hl=en-GB"
"कृष्णकुमार कुन्नथ ""केके""","100K+","25 October 2024 at 00:10:00 UTC+5:30","26 October 2024 at 09:00:00 UTC+5:30","कृष्णकुमार कुन्नथ ""केके""","https://trends.google.com/trends/explore?q=%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%E0%A4%95%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%B0%20%E0%A4%95%E0%A5%81%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%A5%20%22%E0%A4%95%E0%A5%87%E0%A4%95%E0%A5%87%22&geo=IN&hl=en-GB"
"kerala blasters vs bengaluru","200K+","25 October 2024 at 18:30:00 UTC+5:30","26 October 2024 at 13:40:00 UTC+5:30","kerala blasters vs bengaluru,isl,kerala blasters,kerala blasters vs bengaluru fc,isl live,kbfc,kbfc vs bfc,bengaluru fc,kerala blasters vs bengaluru fc lineups,kerala blasters fc,isl live score,isl today match,where to watch kerala blasters vs bengaluru fc,isl today,édgar méndez,som kumar,isl table,today isl match,sunil chhetri,isl match,noah sadaoui,bfc vs kbfc,indian super league,blasters,kerala vs bengaluru,kerala blasters vs bengaluru fc stats,adrian luna,isl points table,kerala blasters live,kerala blasters vs bengaluru fc live","https://trends.google.com/trends/explore?q=kerala%20blasters%20vs%20bengaluru&geo=IN&hl=en-GB"
"vfl bochum vs bayern","50K+","27 October 2024 at 19:00:00 UTC+5:30","28 October 2024 at 14:30:00 UTC+5:30","vfl bochum vs bayern","https://trends.google.com/trends/explore?q=vfl%20bochum%20vs%20bayern&geo=IN&hl=en-GB"
"afc challenge league","10K+","29 October 2024 at 20:20:00 UTC+5:30","30 October 2024 at 13:10:00 UTC+5:30","afc challenge league,east bengal vs bashundhara kings,east bengal fc,afc cup,east bengal vs bashundhara kings live,east bengal match today,east bengal vs bashundhara kings match,sportstar","https://trends.google.com/trends/explore?q=afc%20challenge%20league&geo=IN&hl=en-GB"
"vfb stuttgart vs 1. fck","2K+","30 October 2024 at 00:40:00 UTC+5:30","30 October 2024 at 11:00:00 UTC+5:30","vfb stuttgart vs 1. fck","https://trends.google.com/trends/explore?q=vfb%20stuttgart%20vs%201.%20fck&geo=IN&hl=en-GB"
"vijay maanadu","50K+","25 October 2024 at 20:40:00 UTC+5:30","28 October 2024 at 21:30:00 UTC+5:30","vijay maanadu,tvk maanadu time,vijay maanadu live,tvk maanadu live,tvk manadu live,live news tamil,விஜய் மாநாடு,tvk manadu,vijay speech,அஞ்சலை அம்மாள்,vijayakanth","https://trends.google.com/trends/explore?q=vijay%20maanadu&geo=IN&hl=en-GB"
"iftikhar ahmed","10K+","29 October 2024 at 01:20:00 UTC+5:30","30 October 2024 at 08:30:00 UTC+5:30","iftikhar ahmed,iftikhar,fakhar zaman","https://trends.google.com/trends/explore?q=iftikhar%20ahmed&geo=IN&hl=en-GB"
"kfintech","200K+","24 October 2024 at 09:20:00 UTC+5:30","25 October 2024 at 15:20:00 UTC+5:30","kfintech,deepak builders ipo allotment status,kfintech ipo,waaree energies ipo allotment status kfintech,kfin,kfintech ipo allotment status,kfintech ipo allotment,deepak builders share price,kfintech ipo status,kfin ipo allotment status,deepak builders ipo,kfintech ipo subscription status,nse india,upstox,deepak builders,kfin technologies,kfin ipo allotment,kfin technologies ipo,ipo grey market,deepak builders and engineers ipo allotment status,deepak ipo allotment status,kfin ipo,kfin technologies ipo allotment,kfintech ipo allotment status check,deepak builders ipo allotment status kfintech","https://trends.google.com/trends/explore?q=kfintech&geo=IN&hl=en-GB"
"rb leipzig vs fc st. pauli","5K+","29 October 2024 at 21:40:00 UTC+5:30","30 October 2024 at 10:10:00 UTC+5:30","rb leipzig vs fc st. pauli","https://trends.google.com/trends/explore?q=rb%20leipzig%20vs%20fc%20st.%20pauli&geo=IN&hl=en-GB"
"southampton vs stoke city","2K+","30 October 2024 at 00:20:00 UTC+5:30","30 October 2024 at 10:40:00 UTC+5:30","southampton vs stoke city","https://trends.google.com/trends/explore?q=southampton%20vs%20stoke%20city&geo=IN&hl=en-GB"
"dharmendra","20K+","27 October 2024 at 08:50:00 UTC+5:30","29 October 2024 at 09:50:00 UTC+5:30","dharmendra","https://trends.google.com/trends/explore?q=dharmendra&geo=IN&hl=en-GB"
"carabao cup","2K+","29 October 2024 at 19:20:00 UTC+5:30","30 October 2024 at 15:30:00 UTC+5:30","carabao cup","https://trends.google.com/trends/explore?q=carabao%20cup&geo=IN&hl=en-GB"
"ssp","20K+","29 October 2024 at 18:40:00 UTC+5:30","30 October 2024 at 14:00:00 UTC+5:30","ssp,ssp scholarship","https://trends.google.com/trends/explore?q=ssp&geo=IN&hl=en-GB"
"inter vs juventus","50K+","27 October 2024 at 21:30:00 UTC+5:30","28 October 2024 at 15:00:00 UTC+5:30","inter vs juventus,inter milan,inter milan vs juventus,juventus fc","https://trends.google.com/trends/explore?q=inter%20vs%20juventus&geo=IN&hl=en-GB"
"al kholood vs al-nassr","100K+","25 October 2024 at 19:40:00 UTC+5:30","26 October 2024 at 15:00:00 UTC+5:30","al kholood vs al-nassr,where to watch al kholood vs al-nassr","https://trends.google.com/trends/explore?q=al%20kholood%20vs%20al-nassr&geo=IN&hl=en-GB"
"sarkari exam","2K+","30 October 2024 at 12:30:00 UTC+5:30","30 October 2024 at 13:50:00 UTC+5:30","sarkari exam","https://trends.google.com/trends/explore?q=sarkari%20exam&geo=IN&hl=en-GB"
"walmart bakery oven death","50K+","25 October 2024 at 23:30:00 UTC+5:30","27 October 2024 at 10:50:00 UTC+5:30","walmart bakery oven death,walmart bakery oven,halifax walmart death,walmart canada oven death,walmart employee oven,gursimran kaur walmart,walmart","https://trends.google.com/trends/explore?q=walmart%20bakery%20oven%20death&geo=IN&hl=en-GB"
"ratan tata will","20K+","25 October 2024 at 15:20:00 UTC+5:30","28 October 2024 at 09:00:00 UTC+5:30","ratan tata will,ratan tata will shantanu naidu,ratan tata shantanu naidu,ratan tata leaves behind a foundation to handle his wealth","https://trends.google.com/trends/explore?q=ratan%20tata%20will&geo=IN&hl=en-GB"
"sagility india","1K+","30 October 2024 at 09:30:00 UTC+5:30","30 October 2024 at 15:00:00 UTC+5:30","sagility india","https://trends.google.com/trends/explore?q=sagility%20india&geo=IN&hl=en-GB"
"pani movie","20K+","24 October 2024 at 13:40:00 UTC+5:30","30 October 2024 at 14:40:00 UTC+5:30","pani movie","https://trends.google.com/trends/explore?q=pani%20movie&geo=IN&hl=en-GB"
"pvr","5K+","29 October 2024 at 20:00:00 UTC+5:30","30 October 2024 at 15:20:00 UTC+5:30","pvr","https://trends.google.com/trends/explore?q=pvr&geo=IN&hl=en-GB"
"federal bank share price","5K+","30 October 2024 at 09:50:00 UTC+5:30","30 October 2024 at 14:50:00 UTC+5:30","federal bank share price,federal bank share,8","https://trends.google.com/trends/explore?q=federal%20bank%20share%20price&geo=IN&hl=en-GB"
"ariane tabatabai","50K+","23 October 2024 at 15:50:00 UTC+5:30","26 October 2024 at 07:50:00 UTC+5:30","ariane tabatabai,message","https://trends.google.com/trends/explore?q=ariane%20tabatabai&geo=IN&hl=en-GB"
"zimbabwe vs kenya","100K+","24 October 2024 at 15:40:00 UTC+5:30","25 October 2024 at 10:00:00 UTC+5:30","zimbabwe vs kenya,world t20 qualifier,zimbabwe,zim vs ken","https://trends.google.com/trends/explore?q=zimbabwe%20vs%20kenya&geo=IN&hl=en-GB"
"inter miami vs atlanta united","100K+","26 October 2024 at 05:10:00 UTC+5:30","26 October 2024 at 19:40:00 UTC+5:30","inter miami vs atlanta united,mls,inter miami,inter miami cf,inter miami vs atlanta united lineups,inter miami match,inter miami vs","https://trends.google.com/trends/explore?q=inter%20miami%20vs%20atlanta%20united&geo=IN&hl=en-GB"
"अपर्णा यादव","2K+","30 October 2024 at 05:20:00 UTC+5:30","30 October 2024 at 11:50:00 UTC+5:30","अपर्णा यादव,मुलायम सिंह यादव","https://trends.google.com/trends/explore?q=%E0%A4%85%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%BE%20%E0%A4%AF%E0%A4%BE%E0%A4%A6%E0%A4%B5&geo=IN&hl=en-GB"
"chhath puja 2024","20K+","28 October 2024 at 10:40:00 UTC+5:30","30 October 2024 at 14:30:00 UTC+5:30","chhath puja 2024","https://trends.google.com/trends/explore?q=chhath%20puja%202024&geo=IN&hl=en-GB"
"hellbound","20K+","25 October 2024 at 13:40:00 UTC+5:30","29 October 2024 at 05:00:00 UTC+5:30","hellbound,hellbound season 2","https://trends.google.com/trends/explore?q=hellbound&geo=IN&hl=en-GB"
"abhimanyu easwaran","50K+","25 October 2024 at 22:10:00 UTC+5:30","27 October 2024 at 22:50:00 UTC+5:30","abhimanyu easwaran,border gavaskar trophy,bgt squad,border gavaskar trophy 2024,india squad,bcci,bgt,team india squad,ind vs aus test,gaikwad,india squad for australia,bgt 2024,harshit rana,bgt squad 2024","https://trends.google.com/trends/explore?q=abhimanyu%20easwaran&geo=IN&hl=en-GB"
"arugam bay","50K+","24 October 2024 at 06:10:00 UTC+5:30","26 October 2024 at 07:50:00 UTC+5:30","arugam bay,chabad house,arugam bay news,arugam bay sri lanka","https://trends.google.com/trends/explore?q=arugam%20bay&geo=IN&hl=en-GB"
"marseille vs psg","20K+","28 October 2024 at 00:30:00 UTC+5:30","28 October 2024 at 18:10:00 UTC+5:30","marseille vs psg,ligue 1,psg","https://trends.google.com/trends/explore?q=marseille%20vs%20psg&geo=IN&hl=en-GB"
"united states vs scotland","100K+","25 October 2024 at 20:40:00 UTC+5:30","26 October 2024 at 15:00:00 UTC+5:30","united states vs scotland,icc cwc league 2,usa vs scotland,usa vs sco","https://trends.google.com/trends/explore?q=united%20states%20vs%20scotland&geo=IN&hl=en-GB"
"rehan ahmed","50K+","24 October 2024 at 10:10:00 UTC+5:30","26 October 2024 at 17:10:00 UTC+5:30","rehan ahmed,sajid khan","https://trends.google.com/trends/explore?q=rehan%20ahmed&geo=IN&hl=en-GB"
"sikandar raza","100K+","23 October 2024 at 17:10:00 UTC+5:30","25 October 2024 at 10:50:00 UTC+5:30","sikandar raza,zim vs gm,ज़िम्बाब्वे बनाम गाम्बिया,सिकंदर रज़ा","https://trends.google.com/trends/explore?q=sikandar%20raza&geo=IN&hl=en-GB"
"ola","10K+","29 October 2024 at 14:20:00 UTC+5:30","30 October 2024 at 05:50:00 UTC+5:30","ola","https://trends.google.com/trends/explore?q=ola&geo=IN&hl=en-GB"
"mahmood farooqui","20K+","27 October 2024 at 21:50:00 UTC+5:30","28 October 2024 at 19:20:00 UTC+5:30","mahmood farooqui,iit bombay","https://trends.google.com/trends/explore?q=mahmood%20farooqui&geo=IN&hl=en-GB"
"sharda sinha","10K+","26 October 2024 at 18:30:00 UTC+5:30","29 October 2024 at 08:50:00 UTC+5:30","sharda sinha","https://trends.google.com/trends/explore?q=sharda%20sinha&geo=IN&hl=en-GB"
"bf bf","10K+","29 October 2024 at 03:50:00 UTC+5:30","29 October 2024 at 20:00:00 UTC+5:30","bf bf","https://trends.google.com/trends/explore?q=bf%20bf&geo=IN&hl=en-GB"
"utet answer","20K+","27 October 2024 at 08:20:00 UTC+5:30","28 October 2024 at 22:10:00 UTC+5:30","utet answer,utet answer key 2024,utet answer key 2024 paper 2","https://trends.google.com/trends/explore?q=utet%20answer&geo=IN&hl=en-GB"
"salt typhoon","20K+","27 October 2024 at 12:50:00 UTC+5:30","28 October 2024 at 21:10:00 UTC+5:30","salt typhoon","https://trends.google.com/trends/explore?q=salt%20typhoon&geo=IN&hl=en-GB"
"apple india","10K+","29 October 2024 at 21:40:00 UTC+5:30","30 October 2024 at 10:30:00 UTC+5:30","apple india,apple","https://trends.google.com/trends/explore?q=apple%20india&geo=IN&hl=en-GB"
"mumbai city vs odisha","20K+","27 October 2024 at 18:30:00 UTC+5:30","28 October 2024 at 09:30:00 UTC+5:30","mumbai city vs odisha,mumbai city fc,today isl match,odisha fc,roy krishna","https://trends.google.com/trends/explore?q=mumbai%20city%20vs%20odisha&geo=IN&hl=en-GB"
"hudco share price","5K+","30 October 2024 at 09:40:00 UTC+5:30","30 October 2024 at 15:10:00 UTC+5:30","hudco share price,hudco,hudco results","https://trends.google.com/trends/explore?q=hudco%20share%20price&geo=IN&hl=en-GB"
"bhojpuri video","2K+","30 October 2024 at 02:50:00 UTC+5:30","30 October 2024 at 08:50:00 UTC+5:30","bhojpuri video","https://trends.google.com/trends/explore?q=bhojpuri%20video&geo=IN&hl=en-GB"
"amavasya october 2024","2K+","30 October 2024 at 06:50:00 UTC+5:30","30 October 2024 at 11:10:00 UTC+5:30","amavasya october 2024","https://trends.google.com/trends/explore?q=amavasya%20october%202024&geo=IN&hl=en-GB"
"shaina nc","20K+","28 October 2024 at 22:20:00 UTC+5:30","30 October 2024 at 04:40:00 UTC+5:30","shaina nc,milind deora,maharashtra assembly elections,aaditya thackeray,maharashtra shiv sena,eknath shinde,shiv sena ubt candidate list,uddhav thackeray candidate list","https://trends.google.com/trends/explore?q=shaina%20nc&geo=IN&hl=en-GB"
"sri lanka vs west indies","200K+","27 October 2024 at 02:00:00 UTC+5:30","27 October 2024 at 08:30:00 UTC+5:30","sri lanka vs west indies,west indies vs sri lanka,evin lewis,jewel andrew,sherfane rutherford,gudakesh motie,pallekele weather,avishka fernando,pathum nissanka,wanindu hasaranga,kusal mendis,sl vs wi odi,shai hope,pallekele international cricket stadium weather,pallekele weather today","https://trends.google.com/trends/explore?q=sri%20lanka%20vs%20west%20indies&geo=IN&hl=en-GB"
"renuka singh","10K+","29 October 2024 at 13:30:00 UTC+5:30","29 October 2024 at 21:50:00 UTC+5:30","renuka singh","https://trends.google.com/trends/explore?q=renuka%20singh&geo=IN&hl=en-GB"
"fenerbahçe vs man united","100K+","24 October 2024 at 23:30:00 UTC+5:30","25 October 2024 at 17:20:00 UTC+5:30","fenerbahçe vs man united,manchester united,man utd,europa league,uel,man united,uefa europa league,youssef en-nesyri,jose mourinho,manutd,fenerbahçe vs manchester united f.c.,man utd vs fenerbahce,spurs,uefa europa,united vs fenerbahce","https://trends.google.com/trends/explore?q=fenerbah%C3%A7e%20vs%20man%20united&geo=IN&hl=en-GB"
"ms dhoni","50K+","26 October 2024 at 16:00:00 UTC+5:30","27 October 2024 at 22:40:00 UTC+5:30","ms dhoni,csk,ravindra jadeja,dhoni,ms dhoni ipl,ipl retention","https://trends.google.com/trends/explore?q=ms%20dhoni&geo=IN&hl=en-GB"
"apple intelligence","20K+","28 October 2024 at 21:40:00 UTC+5:30","30 October 2024 at 04:20:00 UTC+5:30","apple intelligence,ios 18.1 release date,ios 18.1,apple,ios 18.1 release date in india,apple intelligence waitlist","https://trends.google.com/trends/explore?q=apple%20intelligence&geo=IN&hl=en-GB"
"paris masters","2K+","29 October 2024 at 07:50:00 UTC+5:30","30 October 2024 at 10:00:00 UTC+5:30","paris masters","https://trends.google.com/trends/explore?q=paris%20masters&geo=IN&hl=en-GB"
"radha yadav","20K+","27 October 2024 at 16:00:00 UTC+5:30","28 October 2024 at 08:30:00 UTC+5:30","radha yadav,georgia plimmer","https://trends.google.com/trends/explore?q=radha%20yadav&geo=IN&hl=en-GB"
"joker","5K+","29 October 2024 at 10:50:00 UTC+5:30","30 October 2024 at 09:30:00 UTC+5:30","joker","https://trends.google.com/trends/explore?q=joker&geo=IN&hl=en-GB"
"unrwa","2K+","30 October 2024 at 09:40:00 UTC+5:30","30 October 2024 at 12:50:00 UTC+5:30","unrwa,israel palestine conflict","https://trends.google.com/trends/explore?q=unrwa&geo=IN&hl=en-GB"
"al-hilal vs al-taawoun","50K+","26 October 2024 at 22:50:00 UTC+5:30","27 October 2024 at 14:50:00 UTC+5:30","al-hilal vs al-taawoun","https://trends.google.com/trends/explore?q=al-hilal%20vs%20al-taawoun&geo=IN&hl=en-GB"
"shashwat sharma airtel ceo","5K+","29 October 2024 at 04:00:00 UTC+5:30","30 October 2024 at 10:30:00 UTC+5:30","shashwat sharma airtel ceo","https://trends.google.com/trends/explore?q=shashwat%20sharma%20airtel%20ceo&geo=IN&hl=en-GB"
"al ahly vs al ain","2K+","29 October 2024 at 21:50:00 UTC+5:30","30 October 2024 at 08:00:00 UTC+5:30","al ahly vs al ain","https://trends.google.com/trends/explore?q=al%20ahly%20vs%20al%20ain&geo=IN&hl=en-GB"
"women's international","10K+","29 October 2024 at 13:10:00 UTC+5:30","29 October 2024 at 22:30:00 UTC+5:30","women's international","https://trends.google.com/trends/explore?q=women%27s%20international&geo=IN&hl=en-GB"
"brics currency","20K+","23 October 2024 at 23:40:00 UTC+5:30","28 October 2024 at 01:00:00 UTC+5:30","brics currency","https://trends.google.com/trends/explore?q=brics%20currency&geo=IN&hl=en-GB"
